,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_LA,Z_DMR,Z_1960C,FAC_1,FAC_2,FAC_3,SoRI
932001400,0.472166,-1.309281,-0.645239,-1.01536,-0.511485,0.544355,-1.14623,-0.979415,-0.839387,-0.416591,-0.457312,0.016932,-1.10601,-0.48114,0.1798,0.788675
932020600,-0.325176,-1.241108,-0.904154,-0.986545,0.071067,-0.671258,-1.262827,-0.468655,-1.005741,-0.448044,1.158217,-0.260762,-1.26256,0.05226,-0.74258,0.588814
932020700,0.204313,-0.398684,-0.603324,-1.51481,-0.28353,0.620188,-1.228839,-1.143663,-0.898313,-0.463165,0.536029,0.223686,-1.08552,-0.13658,0.29506,0.670823
933000101,-0.346792,1.103329,0.638962,-0.19895,0.147052,-0.481741,-0.275473,1.877646,-0.145087,-0.047325,0.511199,-0.973793,0.07698,0.50601,-0.80049,-0.304322
933000102,-0.318464,-0.036386,0.079693,0.454177,0.147052,-0.45637,0.298368,1.075257,0.350439,-0.241384,-0.081533,-1.066819,0.33926,-0.19732,-0.78078,-0.201641
933000201,-0.30815,-0.480282,0.30019,0.396548,-0.13156,-0.104352,-0.155808,-0.02086,0.141735,0.291204,0.237014,-0.647713,-0.09953,0.13823,-0.35461,-0.03227
933000202,-0.201607,-0.084041,-0.006088,0.223662,0.197709,0.429297,-0.159974,0.398278,0.709917,-0.367885,0.779683,-0.171713,0.34438,-0.01196,0.15681,-0.166387
933000301,-0.461093,-1.174981,0.185781,0.089194,0.932232,0.223553,0.627903,0.13652,1.189639,-0.940647,-0.516281,0.589446,0.80891,-0.65838,0.19002,-0.192117
933000302,-0.467107,-0.546242,0.387817,0.358129,1.717411,0.215473,1.429389,-0.023988,1.617589,-1.309522,-0.577407,0.972007,1.58629,-0.85574,0.42479,-0.521737
933000401,-0.30815,-0.214066,0.112563,0.482992,0.678948,0.351585,0.357052,-0.214951,1.578594,-0.041781,0.695436,0.343612,0.86476,-0.08953,0.42341,-0.393983
933000402,-0.534688,0.680969,0.545102,0.262081,1.616098,0.439288,1.138631,-0.677153,2.354472,-1.28609,-0.459558,0.717056,1.95241,-0.98717,0.61687,-0.654775
933000500,-1.115661,1.440169,2.860518,1.606756,-0.030246,-1.133172,2.721747,0.990163,-0.005369,2.697219,1.130641,0.102959,0.8926,2.32041,-0.36603,-1.32928
933000601,-0.198266,0.433187,-0.121634,1.510707,-0.232873,0.908454,0.341404,0.190455,0.87995,-0.816629,0.477833,1.008274,1.00815,-0.05272,1.10379,-0.410681
933000602,-0.088469,-0.001805,0.306337,0.876789,-0.384844,0.831575,1.11029,0.7602,1.042323,-0.537684,0.017047,0.49185,0.99501,-0.13976,0.79229,-0.407351
933000701,0.718751,-0.30142,-0.170142,0.156428,-0.967396,1.730369,-0.16059,-0.575183,0.165341,-0.321389,0.120344,1.158887,0.00303,-0.05108,1.66237,0.197226
933000702,2.119496,0.536654,-0.322279,0.079589,-1.448635,3.85017,0.383516,-0.540551,0.304348,-0.287789,-0.083055,1.599041,0.43388,-0.24777,3.31047,0.210217
933000801,0.389157,1.819817,-0.539699,-1.956632,-0.080903,-2.385196,0,2.109886,-0.784393,-0.836407,5.895176,-1.100308,-0.87166,1.58284,-1.32228,-0.217069
933000802,3.142649,-0.403925,-0.930469,-0.515909,-1.448635,3.182462,-0.30428,-0.857821,-0.583168,-0.530433,-0.401398,1.65011,-0.4267,-0.52537,3.08182,0.750215
933000900,1.17171,0.506503,0.799568,0.790346,-1.296665,1.745175,1.838403,-0.218184,0.032399,0.890309,-0.109828,1.148628,0.56596,0.54669,1.9598,-0.283926
933001001,0.183887,1.172205,0.253996,1.136119,-0.384844,1.424494,1.042174,0.430734,0.572162,0.383485,0.93282,0.308608,0.92131,0.47641,1.16118,-0.540247
933001002,0.510285,0.847401,0.548582,0.895999,-0.739441,2.702722,0.891413,0.038558,1.023796,0.172131,-1.094899,0.556528,1.14446,-0.28191,1.89516,-0.31936
933001100,-0.443602,0.142211,0.635058,0.406153,1.160187,0.437979,0.636753,0.297075,1.152939,-0.268314,-0.469031,0.656369,1.11417,-0.18507,0.3998,-0.499369
933001200,-0.245625,-0.21465,0.240065,0.021961,0.425664,0.557888,0.52706,0.087115,0.326751,-0.504749,-0.297501,1.270083,0.51564,-0.06654,0.72397,-0.178978
933001301,-0.479891,1.351604,0.179058,0.521411,1.388142,0.201439,0.531348,0.31786,1.67446,-0.872404,-0.500273,0.257962,1.62685,-0.65747,0.19859,-0.637111
933001302,-0.502089,0.61364,0.311575,0.828765,1.666754,0.379768,0.956171,0.399437,1.820021,-0.891585,-0.523137,0.254667,1.79868,-0.72751,0.24972,-0.70091
933001401,-0.551249,-0.358603,0.217567,0.59825,1.438799,0.537786,1.113358,1.233548,2.589844,-0.869284,-0.489013,0.161247,1.85761,-0.83477,0.22209,-0.698904
933001402,-0.65936,0.516336,0.554912,1.126515,1.692083,0.32812,0.483425,1.315476,2.860921,-0.273067,-0.028198,0.315122,2.02157,-0.27704,0.27925,-0.97503
933001501,-0.06816,1.212909,-0.554453,0.069985,0.628291,0.564642,0.01829,0.076394,1.660193,-0.961034,-0.849076,0.743388,1.25116,-0.907,0.65791,-0.296007
933001502,-0.415274,-0.191469,0.534319,0.348524,0.678948,0.492295,0.052374,0.363667,1.046138,0.917424,-1.259963,0.59581,0.62207,0.05747,0.29921,-0.32618
933001601,-0.640969,0.521443,0.793944,0.963233,1.210844,0.07646,1.323687,1.020901,2.082394,-0.237423,0.388461,-0.286998,1.73479,-0.13655,-0.03809,-0.902005
933001603,-0.849958,0.274044,0.787348,1.145724,0.678948,-0.8167,1.386909,0.774175,0.902736,0.05913,-0.807727,-0.422195,1.15572,-0.14363,-0.69932,-0.656152
