FAC_1,FAC_2,FAC_3,SoRI
-1.102,0.00246,0.16199,0.617428
-0.53069,-0.73353,-0.47883,0.415542
-1.2453,0.12024,0.15799,0.666382
-0.40965,-0.42844,0.27284,0.357242
-1.54616,-1.08042,0.53294,1.163521
-0.78859,-0.00378,0.1583,0.447799
-0.68938,0.41329,-0.57777,0.211961
-1.00807,-0.71544,-0.11634,0.710725
-0.79803,0.95293,-1.21572,0.070215
-0.87826,0.28383,0.30932,0.443079
-1.11446,-0.19439,0.68216,0.728847
-0.54609,0.05978,0.49389,0.336787
-1.12337,0.31663,0.7337,0.614886
-0.42449,-0.75937,1.82402,0.614987
-1.20499,-1.13374,4.77614,1.453144
-0.65774,-1.27707,1.09679,0.788853
-1.37009,-1.08129,1.25778,1.146817
-0.54929,-1.33738,1.52331,0.790946
-0.39529,-1.10986,-0.0701,0.477964
0.01018,-1.04196,0.79554,0.334885
-0.63742,-0.80128,2.46617,0.811191
-0.9187,-0.60163,3.58493,1.037762
-0.32366,-0.73681,3.54238,0.741863
-0.70289,-0.30816,2.10023,0.686897
-0.90867,-0.29012,2.72706,0.862937
-1.02423,-0.59748,0.74569,0.784767
-1.5208,0.24473,-0.88223,0.672777
-0.58537,-0.7821,0.38119,0.550901
-1.22388,-1.48212,3.22501,1.379192
-1.23343,-0.9798,4.43122,1.393557
-1.18745,-0.67656,3.18691,1.159038
-0.54413,0.03103,1.84875,0.4904
-1.17807,-0.15418,2.04678,0.902454
-0.83861,-0.49935,2.58562,0.860299
-0.85397,-0.17189,2.93128,0.826608
0.60952,-0.84487,2.77461,0.176092
-0.82524,-0.50105,4.64796,1.078224
-1.14276,-0.78629,4.28579,1.281188
-0.99391,-0.24049,3.21223,0.950175
-0.03942,0.15898,1.23357,0.117224
-0.71711,-0.19094,3.01034,0.765302
0.26029,-0.03901,2.62205,0.153496
-0.71536,-0.22387,2.41385,0.70735
-0.6285,0.66907,2.89131,0.494641
-0.00558,0.08348,-0.06229,-0.024077
-1.54274,-0.05085,2.8503,1.163549
-0.81924,-0.38951,2.57436,0.821773
-0.37829,0.97545,-0.61742,-0.098728
0.1191,1.90317,-0.78345,-0.613704
-0.24939,0.56833,-0.70484,-0.079348
-0.1786,0.67635,-1.03965,-0.180712
0.09513,1.42905,-0.13409,-0.414416
-1.50026,-0.74115,2.58325,1.279386
-0.80705,0.22131,1.73536,0.574946
