ID,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_LA,Z_DMR,Z_1960C,FAC_1,FAC_2,FAC_3,FAC_4
59090397,0.155971,-0.596721,-0.376522,-0.839827,-0.476662,0.872816,-0.941087,-0.780292,-0.811144,0.432732,-0.028083,-0.199679,-1.08476,-0.03539,0.21703,-0.14322
59090398,0.104332,0.116671,-0.392044,-0.682332,-0.31195,-0.119444,-0.734301,0.294266,-0.811144,-0.99695,-1.024909,-0.361861,-0.49335,-0.8225,-0.5015,-0.16041
59090399,0.383924,-1.270481,-0.410006,-1.484807,-0.513265,0.727994,-0.39496,-0.462779,-0.437785,1.147573,-0.315048,0.058206,-1.22232,0.29701,0.25132,-0.44347
59090400,-0.141851,-0.165095,-0.198748,-0.554836,-0.128936,0.432299,-0.941087,-0.890286,-0.406672,-0.99695,0.208008,0.220391,-0.37824,-0.77355,0.23342,0.28641
59090403,2.456229,-1.270481,-1.243168,-1.484807,-0.860992,1.152851,-0.941087,-0.790007,-0.811144,-0.425077,-0.078427,-0.703108,-1.40493,-0.98954,0.56943,-0.75256
59090404,0.056569,-0.363497,-0.790586,-1.117319,0.218791,0.690156,-0.527515,-0.843605,-0.496991,0.367746,1.144111,-0.236064,-0.80178,-0.4505,0.14991,0.50224
59090461,-0.749678,-0.62441,-0.126313,-0.524837,0.273695,-0.466935,-0.941087,0.298026,-0.593978,0.289764,0.234522,0.051579,-0.78582,-0.17194,-0.58719,0.88323
59090462,-0.053899,-1.270481,-0.8254,-0.952324,-0.568169,0.187052,-0.691977,-0.950012,-0.811144,-0.99695,-0.202964,0.074009,-0.9492,-0.81234,-0.11235,-0.24426
59090465,-0.775159,-0.363497,-0.914681,-0.029853,0.456709,-1.481096,-0.941087,1.392038,-0.811144,0.671012,1.74584,-0.458693,-1.0191,-0.34032,-1.27284,2.08621
59090466,0.55246,-0.38061,-0.385645,-1.042321,0.07238,0.26159,-0.659913,-0.295446,-0.811144,-0.282109,1.851897,-0.01748,-0.9372,-0.6107,0.27079,1.21541
59150004,0.5999,-1.270481,-0.259973,-0.75733,-0.751184,1.937015,-0.941087,-0.255705,-0.811144,-0.139141,0.052122,-0.345578,-1.05634,-0.26916,0.72481,-0.17744
59150005,0.327589,-0.230117,-0.051001,0.187641,-1.062308,0.387826,-0.941087,0.880901,-0.811144,-0.99695,-0.263107,0.574296,-0.5473,-0.34496,0.48184,0.48567
59150006,0.503082,-0.287915,-0.252381,-0.652333,-0.9708,1.061188,-0.941087,-0.654847,-0.811144,0.718669,-0.18075,0.458262,-1.09811,0.35659,0.81738,-0.19354
59150007,1.029092,0.516002,-0.7803,-0.794829,-0.641375,2.332402,-0.34945,-1.567173,-0.811144,-0.99695,0.039883,0.879942,-0.25773,-0.68733,1.82,-0.49894
59150008,7.599254,0.301624,-0.965447,-1.034821,-1.391733,5.194208,-0.941087,-0.760116,-0.811144,-0.337097,0.394813,0.674508,-0.83162,-0.82461,4.83004,-1.23917
59150009,2.162723,1.409243,-1.243168,-1.484807,-0.751184,1.443443,-0.941087,0.111506,-0.811144,-0.99695,-1.024909,0.160923,-0.4928,-1.3694,1.05646,-0.42085
59150010,3.057509,-1.270481,-1.243168,-1.297313,-1.080609,1.789532,-0.401873,-0.474283,-0.811144,-0.109561,-1.024909,0.044038,-1.16397,-0.54809,1.33737,-1.40017
59150012,2.88865,0.015787,-1.003566,-0.487338,-0.860992,2.371604,-0.216633,-1.567173,-0.143974,-0.46082,-0.106265,-0.703108,-0.30725,-0.66412,1.56222,-1.55193
59150013,-2.227249,-1.270481,-1.243168,0.720124,-1.501541,2.520127,0.242188,-1.567173,-0.811144,-0.99695,-1.024909,-0.968964,-0.23428,-0.12042,0.00355,-1.83502
59150014,1.606975,-0.803519,-0.796786,1.15511,-0.751184,1.721697,1.056805,-0.707194,-0.648542,-0.99695,-0.383117,-0.783229,0.20327,-0.08312,0.85054,-1.74343
59150015,3.08575,0.355834,-1.243168,-1.06482,-1.172116,2.384517,0.130558,-0.255705,-0.811144,-0.99695,0.313686,1.097115,-0.43902,-0.83301,2.46153,-0.43022
59150016,4.319868,-0.091402,-0.80675,-0.982323,-1.410034,4.503721,-0.941087,0.181451,-0.379707,-0.077869,0.090587,0.806573,-0.67327,-0.57595,3.61609,-0.55799
59150017,4.102513,2.197397,-0.734014,-0.839827,-1.135513,3.663087,-0.529513,-0.13648,-0.811144,-0.282109,-1.024909,1.561983,-0.05744,-0.4454,3.56462,-0.87907
59150018,-2.227249,-0.533557,-0.872874,-0.802328,-1.629651,5.1262,-0.682918,-1.567173,-0.811144,-0.251029,-0.315048,0.777225,-0.54439,-0.04411,2.15788,-0.70311
59150019,3.127583,-0.544894,-1.243168,-0.922325,-1.044006,2.901744,-0.34945,0.531176,-0.811144,-0.43751,0.672585,1.29081,-0.76177,-0.68564,2.72381,0.19173
59150020,-2.227249,-0.12016,-0.941447,-1.484807,-1.556446,3.711077,-0.941087,-1.567173,-0.811144,-0.384229,0.131902,-0.634183,-0.91925,-0.51654,0.77981,-0.51259
59150021,-2.227249,-1.270481,-0.564295,-1.484807,-1.721158,-1.964099,-0.941087,-1.567173,-0.811144,-0.99695,0.812379,1.157882,-1.61111,-0.36194,-0.85981,0.73477
59150022,-2.227249,-1.270481,-1.243168,-0.937324,-1.519843,2.731553,0.373663,0.284312,-0.811144,-0.99695,-1.024909,0.094459,-0.47317,-0.47979,0.406,-0.79514
59150023,5.572334,-0.471105,-1.243168,-1.034821,-1.281924,3.572573,-0.696272,-1.567173,-0.811144,-0.99695,0.276503,0.252536,-0.89407,-1.08482,3.26626,-1.39766
59150024,8.443078,0.077038,-1.243168,-0.869826,-1.556446,3.785055,0.210208,-0.567959,-0.811144,0.289764,0.090587,0.967985,-0.85951,-0.21038,4.546,-1.84774
59150025,3.658789,-1.270481,-0.89651,-0.959823,-1.263623,4.690943,-0.497359,-0.517999,-0.811144,-0.172134,0.304193,0.377284,-0.93806,-0.42633,3.25256,-0.9328
59150027,1.718559,-1.270481,0.468772,0.637626,-0.751184,3.402642,-0.187142,-0.867724,-0.524792,0.5757,-0.345911,-0.248456,-0.39279,0.83275,1.97632,-1.34022
59150028,3.150598,0.077038,-0.720958,-0.487338,-1.044006,1.7047,-0.941087,-1.567173,-0.811144,0.534852,0.146362,0.838855,-1.03147,0.09223,2.13582,-0.71057
59150029,3.136654,-1.270481,-0.40043,-0.11235,-1.172116,2.284915,-0.941087,0.181451,-0.811144,-0.99695,-1.024909,1.836273,-0.65077,-0.42996,2.61974,-0.52645
59150030,2.966093,-0.457323,-0.929842,-0.76483,-1.117212,2.853047,-0.691977,0.531176,-0.811144,-0.52039,0.176395,1.855754,-0.70739,-0.56957,2.93186,0.22979
59150031,2.448068,-0.471105,-0.763964,0.600128,-0.714581,3.758353,2.676569,-0.255705,-0.398943,-0.629318,-0.424257,0.769324,0.89975,0.3998,2.84707,-2.09401
59150032,5.882721,0.077038,-0.903732,0.037645,-1.410034,5.150174,-0.586105,-0.567959,-0.811144,0.075311,0.276503,1.29081,-0.51153,-0.125,4.72271,-1.07289
59150033,6.806159,-1.270481,-0.821799,-0.11235,-1.391733,4.916679,-0.330364,0.111506,-0.811144,0.432732,-1.024909,0.989507,-0.78569,0.10123,4.41904,-1.93754
59150034,2.566874,-1.270481,-0.988591,-0.809828,-0.787786,3.364687,-0.941087,-0.692861,-0.811144,-0.568046,0.486408,2.138226,-0.82489,-0.62621,3.21886,0.15338
59150035,1.115106,0.355834,0.372081,0.51763,-0.915896,2.294165,0.741793,0.181451,-0.571457,0.357486,-0.217136,-0.356144,0.05556,0.83037,1.32435,-0.99432
59150036,3.085398,-0.497314,-0.763964,-0.862327,-1.281924,2.384336,0.094279,-0.401424,-0.470536,-0.139141,-0.132512,2.259285,-0.52857,-0.02594,3.06672,-0.57222
59150037,2.526743,-1.270481,-0.988591,1.185109,-1.336829,2.540656,3.465593,0.375743,-0.811144,0.432732,-1.024909,1.855754,0.50169,1.55567,2.7955,-2.41088
59150038,1.387975,-1.270481,-0.952223,-0.322343,-1.062308,2.601383,-0.603008,0.181451,-0.811144,-0.99695,0.052122,1.93646,-0.58994,-0.58684,2.40654,0.21372
59150039,1.65876,0.736461,-0.773179,-0.299844,-1.300226,2.247637,-0.203461,-1.567173,-0.385384,1.147573,0.777046,2.333783,-0.52463,0.76226,2.98051,-0.18694
59150040,-0.017318,0.000315,0.159949,-0.009344,-0.011557,-0.015272,0.073781,0.007786,0.015863,0.13304,0.018189,-0.119297,-0.01214,0.13756,-0.05159,-0.05104
59150041,3.751115,-1.270481,-0.079386,-1.124818,-1.281924,2.789409,-0.941087,-1.567173,-0.811144,0.432732,0.090587,1.29081,-1.35546,0.26316,2.97454,-0.88083
59150042,2.488257,0.004199,-0.790586,-0.959823,-0.934198,1.840115,-0.941087,-0.517999,-0.811144,-0.46082,-1.024909,2.507612,-0.64977,-0.44375,2.59926,-0.31007
59150043,-0.929956,-0.287915,0.45908,-0.472339,1.518191,-0.188748,-0.941087,0.531176,-0.500012,1.362026,0.373624,-0.092037,-0.53626,0.26233,-0.62793,1.29436
59150044,-1.058244,-1.270481,2.13969,0.375135,1.24367,-0.621274,0.605371,2.367232,-0.493911,1.054333,0.827949,-0.202939,-0.12407,1.29604,-0.75925,1.51537
59150045,-0.626556,0.226762,0.532345,0.037645,0.822738,0.18449,-0.139514,0.181451,-0.811144,1.290542,-0.624474,-0.737192,-0.31846,0.75295,-0.64243,-0.10379
59150046,-0.836045,0.004199,-0.370332,0.247639,1.719507,-0.617141,-0.629015,0.930862,-0.811144,1.092585,0.344999,-0.484727,-0.33461,-0.03239,-1.07768,1.2534
59150047,-0.880021,0.250911,1.246032,1.267607,0.566518,-0.137347,-0.310007,0.089418,-0.451613,1.711922,-0.446504,0.370161,-0.02237,1.5986,-0.04379,0.20908
59150048,4.244246,-1.270481,-0.848984,-1.06482,-1.48324,2.480951,-0.941087,-0.692861,-0.811144,-0.043829,-1.024909,1.217914,-1.2586,-0.27803,2.68432,-1.28487
59150049,0.687646,-1.270481,-0.564295,-0.697332,-1.080609,2.032443,-0.941087,-0.213399,0.267448,0.534852,0.276503,1.29081,-0.743,0.00727,1.77149,0.15045
59150050,1.11129,0.641538,-1.243168,-0.817328,-0.074031,1.749222,-0.941087,-0.790007,-0.01021,-0.43751,-0.132512,2.001025,-0.01578,-0.95871,2.02563,0.31239
59150051,0.90509,-1.270481,-0.749442,-0.149849,-0.110634,1.89994,0.636613,-0.168274,0.267448,-0.568046,-0.04885,1.855754,0.33257,-0.30876,1.97668,-0.26758
59150052,0.358824,-1.270481,-0.616516,-0.42734,-0.238744,1.136842,0.044975,2.298208,-0.811144,-0.077869,-1.024909,2.85527,-0.34727,-0.00058,1.60542,0.85376
59150053,3.358384,0.543486,-0.467314,-0.869826,-1.22702,2.527431,1.503055,-0.984299,-0.811144,-0.46082,0.090587,1.398419,-0.06496,0.22707,2.93859,-1.37945
59150054,1.299729,1.471562,-0.323405,-0.914825,-0.421758,2.269312,-0.222135,0.45047,-0.811144,0.146796,-0.017364,3.113209,-0.06528,0.06903,2.95935,0.8422
