ID,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_LA,Z_DMR,Z_1960C,FAC_1,FAC_2,FAC_3
59090397,0.155971,-0.596721,-0.376522,-0.839827,-0.476662,0.872816,-0.941087,-0.780292,-0.811144,0.432732,-0.028083,-0.199679,-1.102,0.00246,0.16199
59090398,0.104332,0.116671,-0.392044,-0.682332,-0.31195,-0.119444,-0.734301,0.294266,-0.811144,-0.99695,-1.024909,-0.361861,-0.53069,-0.73353,-0.47883
59090399,0.383924,-1.270481,-0.410006,-1.484807,-0.513265,0.727994,-0.39496,-0.462779,-0.437785,1.147573,-0.315048,0.058206,-1.2453,0.12024,0.15799
59090400,-0.141851,-0.165095,-0.198748,-0.554836,-0.128936,0.432299,-0.941087,-0.890286,-0.406672,-0.99695,0.208008,0.220391,-0.40965,-0.42844,0.27284
59090403,2.456229,-1.270481,-1.243168,-1.484807,-0.860992,1.152851,-0.941087,-0.790007,-0.811144,-0.425077,-0.078427,-0.703108,-1.54616,-1.08042,0.53294
59090404,0.056569,-0.363497,-0.790586,-1.117319,0.218791,0.690156,-0.527515,-0.843605,-0.496991,0.367746,1.144111,-0.236064,-0.78859,-0.00378,0.1583
59090461,-0.749678,-0.62441,-0.126313,-0.524837,0.273695,-0.466935,-0.941087,0.298026,-0.593978,0.289764,0.234522,0.051579,-0.68938,0.41329,-0.57777
59090462,-0.053899,-1.270481,-0.8254,-0.952324,-0.568169,0.187052,-0.691977,-0.950012,-0.811144,-0.99695,-0.202964,0.074009,-1.00807,-0.71544,-0.11634
59090465,-0.775159,-0.363497,-0.914681,-0.029853,0.456709,-1.481096,-0.941087,1.392038,-0.811144,0.671012,1.74584,-0.458693,-0.79803,0.95293,-1.21572
59090466,0.55246,-0.38061,-0.385645,-1.042321,0.07238,0.26159,-0.659913,-0.295446,-0.811144,-0.282109,1.851897,-0.01748,-0.87826,0.28383,0.30932
59150004,0.5999,-1.270481,-0.259973,-0.75733,-0.751184,1.937015,-0.941087,-0.255705,-0.811144,-0.139141,0.052122,-0.345578,-1.11446,-0.19439,0.68216
59150005,0.327589,-0.230117,-0.051001,0.187641,-1.062308,0.387826,-0.941087,0.880901,-0.811144,-0.99695,-0.263107,0.574296,-0.54609,0.05978,0.49389
59150006,0.503082,-0.287915,-0.252381,-0.652333,-0.9708,1.061188,-0.941087,-0.654847,-0.811144,0.718669,-0.18075,0.458262,-1.12337,0.31663,0.7337
59150007,1.029092,0.516002,-0.7803,-0.794829,-0.641375,2.332402,-0.34945,-1.567173,-0.811144,-0.99695,0.039883,0.879942,-0.42449,-0.75937,1.82402
59150008,7.599254,0.301624,-0.965447,-1.034821,-1.391733,5.194208,-0.941087,-0.760116,-0.811144,-0.337097,0.394813,0.674508,-1.20499,-1.13374,4.77614
59150009,2.162723,1.409243,-1.243168,-1.484807,-0.751184,1.443443,-0.941087,0.111506,-0.811144,-0.99695,-1.024909,0.160923,-0.65774,-1.27707,1.09679
59150010,3.057509,-1.270481,-1.243168,-1.297313,-1.080609,1.789532,-0.401873,-0.474283,-0.811144,-0.109561,-1.024909,0.044038,-1.37009,-1.08129,1.25778
59150012,2.88865,0.015787,-1.003566,-0.487338,-0.860992,2.371604,-0.216633,-1.567173,-0.143974,-0.46082,-0.106265,-0.703108,-0.54929,-1.33738,1.52331
59150013,-2.227249,-1.270481,-1.243168,0.720124,-1.501541,2.520127,0.242188,-1.567173,-0.811144,-0.99695,-1.024909,-0.968964,-0.39529,-1.10986,-0.0701
59150014,1.606975,-0.803519,-0.796786,1.15511,-0.751184,1.721697,1.056805,-0.707194,-0.648542,-0.99695,-0.383117,-0.783229,0.01018,-1.04196,0.79554
59150015,3.08575,0.355834,-1.243168,-1.06482,-1.172116,2.384517,0.130558,-0.255705,-0.811144,-0.99695,0.313686,1.097115,-0.63742,-0.80128,2.46617
59150016,4.319868,-0.091402,-0.80675,-0.982323,-1.410034,4.503721,-0.941087,0.181451,-0.379707,-0.077869,0.090587,0.806573,-0.9187,-0.60163,3.58493
59150017,4.102513,2.197397,-0.734014,-0.839827,-1.135513,3.663087,-0.529513,-0.13648,-0.811144,-0.282109,-1.024909,1.561983,-0.32366,-0.73681,3.54238
59150018,-2.227249,-0.533557,-0.872874,-0.802328,-1.629651,5.1262,-0.682918,-1.567173,-0.811144,-0.251029,-0.315048,0.777225,-0.70289,-0.30816,2.10023
59150019,3.127583,-0.544894,-1.243168,-0.922325,-1.044006,2.901744,-0.34945,0.531176,-0.811144,-0.43751,0.672585,1.29081,-0.90867,-0.29012,2.72706
59150020,-2.227249,-0.12016,-0.941447,-1.484807,-1.556446,3.711077,-0.941087,-1.567173,-0.811144,-0.384229,0.131902,-0.634183,-1.02423,-0.59748,0.74569
59150021,-2.227249,-1.270481,-0.564295,-1.484807,-1.721158,-1.964099,-0.941087,-1.567173,-0.811144,-0.99695,0.812379,1.157882,-1.5208,0.24473,-0.88223
59150022,-2.227249,-1.270481,-1.243168,-0.937324,-1.519843,2.731553,0.373663,0.284312,-0.811144,-0.99695,-1.024909,0.094459,-0.58537,-0.7821,0.38119
59150023,5.572334,-0.471105,-1.243168,-1.034821,-1.281924,3.572573,-0.696272,-1.567173,-0.811144,-0.99695,0.276503,0.252536,-1.22388,-1.48212,3.22501
59150024,8.443078,0.077038,-1.243168,-0.869826,-1.556446,3.785055,0.210208,-0.567959,-0.811144,0.289764,0.090587,0.967985,-1.23343,-0.9798,4.43122
59150025,3.658789,-1.270481,-0.89651,-0.959823,-1.263623,4.690943,-0.497359,-0.517999,-0.811144,-0.172134,0.304193,0.377284,-1.18745,-0.67656,3.18691
59150027,1.718559,-1.270481,0.468772,0.637626,-0.751184,3.402642,-0.187142,-0.867724,-0.524792,0.5757,-0.345911,-0.248456,-0.54413,0.03103,1.84875
59150028,3.150598,0.077038,-0.720958,-0.487338,-1.044006,1.7047,-0.941087,-1.567173,-0.811144,0.534852,0.146362,0.838855,-1.17807,-0.15418,2.04678
59150029,3.136654,-1.270481,-0.40043,-0.11235,-1.172116,2.284915,-0.941087,0.181451,-0.811144,-0.99695,-1.024909,1.836273,-0.83861,-0.49935,2.58562
59150030,2.966093,-0.457323,-0.929842,-0.76483,-1.117212,2.853047,-0.691977,0.531176,-0.811144,-0.52039,0.176395,1.855754,-0.85397,-0.17189,2.93128
59150031,2.448068,-0.471105,-0.763964,0.600128,-0.714581,3.758353,2.676569,-0.255705,-0.398943,-0.629318,-0.424257,0.769324,0.60952,-0.84487,2.77461
59150032,5.882721,0.077038,-0.903732,0.037645,-1.410034,5.150174,-0.586105,-0.567959,-0.811144,0.075311,0.276503,1.29081,-0.82524,-0.50105,4.64796
59150033,6.806159,-1.270481,-0.821799,-0.11235,-1.391733,4.916679,-0.330364,0.111506,-0.811144,0.432732,-1.024909,0.989507,-1.14276,-0.78629,4.28579
59150034,2.566874,-1.270481,-0.988591,-0.809828,-0.787786,3.364687,-0.941087,-0.692861,-0.811144,-0.568046,0.486408,2.138226,-0.99391,-0.24049,3.21223
59150035,1.115106,0.355834,0.372081,0.51763,-0.915896,2.294165,0.741793,0.181451,-0.571457,0.357486,-0.217136,-0.356144,-0.03942,0.15898,1.23357
59150036,3.085398,-0.497314,-0.763964,-0.862327,-1.281924,2.384336,0.094279,-0.401424,-0.470536,-0.139141,-0.132512,2.259285,-0.71711,-0.19094,3.01034
59150037,2.526743,-1.270481,-0.988591,1.185109,-1.336829,2.540656,3.465593,0.375743,-0.811144,0.432732,-1.024909,1.855754,0.26029,-0.03901,2.62205
59150038,1.387975,-1.270481,-0.952223,-0.322343,-1.062308,2.601383,-0.603008,0.181451,-0.811144,-0.99695,0.052122,1.93646,-0.71536,-0.22387,2.41385
