ID,Z_HAI,Z_DR,Z_LI,Z_GT,Z_DAV,Z_LP,Z_NL,Z_LA,Z_DMR,Z_1960C,FAC_1,FAC_2,FAC_3
59150004,-1.453514,-0.282851,0.079958,-0.799515,-0.025652,-1.043306,-0.967945,-0.513883,1.153700,-0.106219,-1.21092,0.18432,0.19509
59150005,1.143436,-0.498294,0.267436,-0.525516,-0.022172,0.648325,-0.794084,0.623534,-0.581688,0.303567,-0.20815,0.28390,-0.42145
59150006,-1.453526,-0.033796,-0.738129,-0.373294,-0.025803,-0.439152,-0.762110,0.433964,1.975726,1.058614,-1.35056,0.97899,0.90859
59150007,-1.453509,-0.784525,-0.780738,-0.769070,-0.025551,-0.545767,-0.799005,-0.703453,-0.581688,0.721668,-1.25373,-0.53391,0.55113
59150008,-1.453446,-1.166167,-1.266477,-1.240957,-0.025248,-1.508039,-0.817461,-0.738997,-0.581688,0.202210,-1.71376,-0.93720,0.27864
59150009,-1.453489,-1.166167,-0.235346,-1.149624,-0.025652,-0.990771,-0.744099,0.149610,-0.581688,0.894821,-1.48607,-0.25588,0.66790
59150010,-1.453503,-0.702051,-1.002303,-1.103958,-0.025501,-0.909049,-0.858082,-0.561275,0.575237,0.098318,-1.54812,-0.26005,0.23711
59150012,-1.453497,-1.166167,-0.260912,-1.180069,-0.025601,-0.892267,-0.794084,-0.496650,-0.581688,-0.836707,-1.25563,-0.72656,-0.52680
59150013,-1.453489,-1.166167,-0.968216,-1.347512,-0.025601,-0.990771,-0.967945,-0.798237,-0.581688,-0.836707,-1.54578,-0.92486,-0.55531
59150014,-1.453500,-1.166167,-0.465433,-0.997403,-0.025702,-0.662606,-0.568221,-0.561275,-0.102960,-0.836707,-1.12368,-0.67777,-0.46793
59150015,-1.453497,-1.166167,-1.147173,-0.951736,-0.025601,-1.251635,-0.775390,-0.561275,-0.581688,0.013316,-1.52670,-0.83989,0.07713
59150016,-1.453412,-1.166167,-1.232390,-1.423623,-0.024845,-1.091638,-0.757267,-0.238146,-0.581688,0.614194,-1.78379,-0.60657,0.49502
59150017,-1.453497,-1.166167,-1.027868,-1.043069,-0.025450,-0.870690,-0.967945,-0.397225,-0.581688,1.594358,-1.70599,-0.45112,1.09565
59150018,-1.453446,-1.166167,0.318567,-1.362735,-0.025097,-1.345383,-0.967945,-0.053500,-0.581688,1.229046,-1.57378,-0.22434,0.96105
59150019,-1.453494,-1.166167,-0.405781,-0.906070,-0.025601,-1.106901,-0.816185,-0.538344,0.680412,1.394603,-1.50446,-0.18189,1.17212
59150020,-1.453520,-1.166167,0.463436,-0.632071,-0.025450,-1.043306,-0.738360,-0.603092,-0.581688,-0.836707,-0.85690,-0.72366,-0.48841
59150021,-1.453475,-1.166167,-1.096042,-1.210513,-0.025652,-0.318321,-0.967945,-0.703453,-0.581688,0.981397,-1.58364,-0.58263,0.62948
