ID,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_CC,Z_LA,Z_DMR,Z_1960C,FAC_1,FAC_2,FAC_3,FAC_4
9330001.01,-0.407811,0.269347,0.80041,-0.135785,0.452356,-0.454172,-0.720428,2.03979,-0.099272,0.657919,0.200127,-0.471794,-0.850425,0.89071,-0.71882,0.28428,-0.56258
9330001.02,-0.396776,-0.037876,0.114523,0.428176,0.430198,-0.349156,-0.05683,1.516342,0.325294,0.185265,-0.117835,-0.246004,-0.804072,0.70413,-0.10869,-0.07522,-0.50067
9330002.01,-0.271485,-0.115093,0.183414,0.121676,-0.079433,-0.085457,-0.519753,0.703854,0.270793,0.284752,-0.08723,0.624802,-0.32205,0.43744,-0.37281,0.14339,0.08693
9330002.03,0.050299,0.471613,-0.422039,-0.013185,0.40804,0.791861,0.084394,-0.120335,1.908086,0.332396,-0.907069,-0.69519,0.250792,0.73076,0.32356,-1.36524,0.54513
9330002.04,-0.11938,-0.05836,0.073335,-0.577145,0.252935,0.152992,-0.404075,0.819634,0.182238,0.491746,-0.37937,0.166781,-0.493359,0.53219,-0.51466,-0.26117,-0.01089
9330003.01,-0.540666,1.40501,0.681909,0.661116,1.44946,0.379163,1.515144,0.212704,1.61172,-1.923021,-0.998979,-0.414899,0.823975,1.04624,1.66054,-0.86106,0.54546
9330003.02,-0.5588,2.552083,1.015979,0.477216,0.939829,0.405864,1.86165,-0.050004,1.407711,-1.026997,-1.001985,-1.082404,1.072972,1.08704,1.51534,-0.94544,0.55029
9330004.01,-0.397024,0.088245,0.126947,0.244276,0.496672,0.589509,1.706168,0.700474,0.975709,-1.103664,-0.181707,0.786729,0.837371,0.48248,1.08902,-0.14589,0.86002
9330004.02,-0.25177,0.177358,0.688959,0.048115,0.851198,0.32115,1.994132,-0.002072,1.232359,-1.270646,-0.916138,-0.302318,0.800016,0.3541,1.47968,-0.64812,0.4658
9330005,-1.234326,0.075299,2.908101,1.090217,-0.234538,-0.757835,1.073722,1.253433,-0.316934,-1.382806,2.538693,0.22996,0.246751,-0.39331,1.10694,2.59242,-0.38028
9330006.01,0.023549,0.493781,-0.088924,0.158456,-0.566906,1.363237,0.901271,0.463095,1.12276,-0.778445,-0.595859,0.675082,0.825061,0.23495,0.89635,-0.53001,1.30177
9330006.02,-0.323002,-0.624602,0.239423,0.979877,-0.234538,1.268582,0.158968,0.455017,1.075545,-0.478586,-0.703706,1.376862,0.535644,0.32089,0.56875,-0.1217,1.29264
9330007.01,0.951394,-0.390056,-0.141991,0.244276,-0.8328,2.446679,-0.014037,-0.315833,0.134223,0.239349,0.192723,0.704171,1.245612,-0.59718,0.23907,-0.06092,1.95802
9330007.02,3.854333,-0.026048,-0.399027,-0.074485,-1.497537,4.450139,0.906,-0.700458,0.427664,-0.140184,-0.65124,0.062475,1.42925,-1.45815,1.22962,-1.37675,3.22786
9330008.01,0.487208,1.736319,-0.323831,-2.121908,-0.433959,-2.016872,0.036278,2.40882,-0.975957,-0.049716,-0.282837,2.825849,-0.709895,1.37467,-1.42865,0.39022,-0.07577
9330008.02,4.46867,-1.161864,-0.987002,-0.601666,-1.630484,3.366249,-0.557601,-1.307872,-0.395144,0.432464,-0.306175,-0.284512,1.546086,-2.01172,0.16258,-1.10926,2.69109
9330009,0.328191,-0.361501,0.920164,1.359937,-0.810643,2.818568,1.609846,0.667624,0.373635,-1.037177,0.975857,0.416086,1.552309,-0.78271,1.68158,0.68644,2.03033
9330010.01,0.350013,-0.121155,-0.000526,1.163777,-0.433959,1.923591,1.260835,0.677989,1.02768,-1.107546,0.555478,1.475968,0.501877,-0.1197,1.33274,0.19124,1.57534
9330010.02,-0.120527,-0.221121,0.634137,2.046498,-0.101591,3.55868,0.640087,0.205918,1.301605,-1.069684,0.119661,-0.17156,0.350596,-0.34719,1.82688,-0.24595,1.64996
9330011,-0.215193,1.350278,0.481937,0.697896,0.673935,0.421027,0.503731,0.455017,1.000922,-0.357165,-0.311191,0.906892,0.337111,1.09352,0.44038,-0.22804,0.83352
9330012,0.017473,0.047258,0.08386,-0.417765,-0.21238,0.808504,0.087306,0.294732,0.398704,-0.256162,-0.594814,0.394759,1.307092,0.2375,0.07331,-0.27978,1.16317
9330013.01,-0.56097,0.01294,0.476548,0.415916,1.382987,0.32733,0.603041,1.126575,1.947595,-0.220567,-0.737923,1.656666,0.560294,1.66371,0.26344,-0.41426,1.17907
9330013.03,-0.382641,-0.377763,0.38278,0.268796,1.028461,0.437688,0.817565,0.443771,1.09588,-0.899596,-0.644412,-1.084666,0.397981,0.36014,0.97912,-0.65419,0.07508
9330013.04,-0.608272,1.830269,0.576972,0.501736,1.161408,0.37344,0.454005,0.688822,2.261101,-0.810828,-1.078463,0.305016,0.416886,1.76974,0.76787,-1.01432,0.81611
9330014.01,-0.37793,-0.613475,-0.009139,0.207496,0.984145,0.286857,0.422621,1.171548,3.481313,0.049856,-1.054223,0.913186,0.251809,1.65701,0.43625,-1.20736,0.99671
9330014.02,-0.920075,1.855986,0.582492,1.274117,1.914776,0.262749,0.776544,1.554155,3.673066,-0.422501,-0.18442,-0.201707,0.205636,2.47556,1.02312,-1.06503,0.68206
9330015.01,-0.276289,0.560749,-0.228722,0.072635,0.762566,0.598733,-0.466919,-0.153074,1.657189,0.354181,-0.88686,-0.443914,0.529362,0.99922,-0.02675,-1.11738,0.62477
9330015.02,-0.295012,0.440516,0.157316,0.268796,0.629619,0.489907,0.620191,0.634432,1.352301,-0.321049,-0.709535,-0.819835,0.838001,0.77027,0.63422,-0.81217,0.54331
9330016.01,-0.749,-0.13411,0.930904,1.151517,1.028461,0.134301,0.501808,1.772339,2.288172,-0.372036,-0.057525,1.330093,-0.187034,1.53453,0.57856,0.02158,0.68415
9330016.04,-0.581304,0.290032,0.16133,0.403656,0.496672,-0.233026,0.490352,0.974834,0.864422,-0.45672,-0.770623,1.163071,-0.027141,1.03314,0.24513,-0.21786,0.34583
9330016.05,-0.92553,-0.859657,1.510155,0.501736,1.028461,-0.045672,0.74622,1.10085,1.086987,-1.296639,-0.091024,-0.588362,0.228458,0.38801,1.06613,0.25834,-0.11716
9330016.06,-1.132779,0.873107,0.69876,1.421237,-0.411801,-0.956009,0.836485,0.841438,0.945648,-2.155126,-0.023085,-1.339887,-0.934893,-0.00606,1.75039,0.08864,-1.34594
9330017.01,-0.488002,1.31353,0.312379,0.477216,1.205724,0.438889,0.019821,1.033458,2.475839,-0.179651,-0.956879,-0.363823,0.369135,1.79955,0.43455,-1.2043,0.69486
9330017.02,-0.549097,1.504026,0.171782,0.452696,0.984145,0.058134,0.280635,0.642726,2.43919,-0.742503,-0.432828,0.723046,0.508383,1.67018,0.58347,-0.74046,0.82969
