ID,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_CC,Z_LA,Z_DMR,Z_DM,Z_1960C,FAC_1,FAC_2,FAC_3,FAC_4
9330001.01,-0.397376,0.265062,0.796143,0.04451,0.051285,-0.466264,-0.560934,1.20933,-0.115038,0.651677,0.163869,-0.548096,0,-0.983425,0.55875,0.049,-0.75679,-0.82848
9330001.02,-0.386447,-0.045215,0.107751,0.054294,0.051072,-0.360525,-0.09618,0.885616,0.14801,0.18064,-0.136566,-0.313165,0,-0.936788,0.53808,-0.29347,-0.16744,-0.62907
9330002.01,-0.262369,-0.1232,0.176893,0.048977,0.046165,-0.095011,-0.42039,0.383151,0.114243,0.279786,-0.107648,0.592895,0,-0.451817,0.24828,0.15573,-0.47232,-0.15366
9330002.03,0.056301,0.469338,-0.430771,0.046637,0.050858,0.788345,0.002727,-0.12655,1.128657,0.327267,-0.882292,-0.780536,0,0.12453,0.86688,-1.09564,0.00432,0.4614
9330002.04,-0.111736,-0.065903,0.066412,0.036853,0.049365,0.145079,-0.339374,0.454752,0.059376,0.486073,-0.383683,0.116331,0,-0.624174,0.35581,-0.28794,-0.58862,-0.20432
9330003.01,-0.528945,1.412014,0.677209,0.058335,0.060884,0.372806,1.00476,0.07941,0.945038,-1.920434,-0.969135,-0.488898,0,0.70122,1.0511,-0.73645,1.61424,0.34514
9330003.02,-0.546903,2.57049,1.012499,0.055145,0.055978,0.399692,1.247437,-0.083055,0.818641,-1.027474,-0.971975,-1.183427,-0.324834,0.951739,1.05787,-0.83931,1.52974,0.29869
9330004.01,-0.386693,0.082159,0.12022,0.051104,0.051712,0.5846,1.138544,0.381061,0.550986,-1.103879,-0.196916,0.761378,0,0.714697,0.48446,-0.02222,1.05117,0.68818
9330004.02,-0.242845,0.172158,0.684285,0.047701,0.055125,0.314395,1.340221,-0.053413,0.709998,-1.27029,-0.89086,-0.371759,0,0.677114,0.42938,-0.62475,1.47509,0.41202
9330005,-1.215891,0.069085,2.911533,0.065779,0.044672,-0.772016,0.695608,0.723026,-0.249894,-1.382067,2.373517,0.182068,0,0.120464,-0.63402,2.0864,1.26303,-0.67741
9330006.01,0.029809,0.491727,-0.09644,0.049615,0.041472,1.363654,0.574831,0.234259,0.642094,-0.779774,-0.588237,0.645211,0,0.702312,0.39482,-0.26393,0.76174,1.19069
9330006.02,-0.313388,-0.637774,0.233106,0.063865,0.044672,1.268347,0.054955,0.229263,0.612841,-0.48094,-0.690139,1.375402,0,0.411124,0.39068,0.23983,0.33269,1.07708
9330007.01,0.948674,-0.400896,-0.149701,0.051104,0.038912,2.454552,-0.066209,-0.247451,0.029628,0.234539,0.156872,0.675478,-0.333714,1.125436,-0.20818,0.25789,0.04788,1.88872
9330007.02,3.823515,-0.03327,-0.407675,0.045574,0.032513,4.4718,0.578143,-0.485314,0.211435,-0.143696,-0.640565,0.007802,0,1.310198,-0.33841,-0.91704,0.95987,3.58632
9330008.01,0.488981,1.746617,-0.332204,0,0.042752,0,15.273156,1.437549,-0.658204,1.762747,-0.292471,2.883052,0,-0.842035,,,,
9330008.02,4.431907,-1.180377,-0.997798,0.036428,0.031233,3.38045,-0.446897,-0.860955,-0.298351,0.426993,-0.314522,-0.353233,0,1.427748,-0.94494,-0.80522,-0.08019,3.13926
