ID,Z_HAI,Z_DR,Z_LI,Z_GT,Z_DAV,Z_LP,Z_NL,Z_LA,Z_DMR,Z_DM,Z_1960C,FAC_1,FAC_2,FAC_3
59150004,-1.483506,-0.614004,0.030282,-0.831605,-0.026022,-0.879723,0,-0.61458,0.039357,0,-0.749145,,,
59150005,1.132949,-0.849587,0.221476,-0.554211,-0.022589,0.476535,-0.66737,0.509597,0,0,-0.308148,,,
59150006,-1.483518,-0.341667,-0.804021,-0.400104,-0.026171,-0.395345,-0.645806,0.322234,0.85076,0,0.504404,-0.6954,-0.46782,1.03649
59150007,-1.483501,-1.162575,-0.847474,-0.800783,-0.025922,-0.480824,-0.670689,-0.801943,0,0,0.141796,,,
59150008,-1.483438,0,-1.342842,-1.278516,-0.025624,-1.252322,-0.683136,-0.837073,0,0,-0.417226,,,
59150009,-1.483481,0,-0.291272,-1.186051,-0.026022,-0.837603,-0.633659,0.04119,0,0,0.328136,,,
59150010,-1.483495,-1.072392,-1.073431,-1.139819,-0.025873,-0.772084,-0.710532,-0.661421,-0.53163,0,-0.52903,-1.11948,-1.06148,-0.45644
59150012,-1.483489,0,-0.317344,-1.216873,-0.025972,-0.758629,-0.66737,-0.597547,0,0,0,,,
59150013,-1.483481,0,-1.038669,-1.386391,-0.025972,-0.837603,0,-0.895624,0,0,0,,,
59150014,-1.483492,0,-0.52592,-1.031944,-0.026072,-0.574499,-0.515043,-0.661421,-1.201064,0,0,,,
59150015,-1.483489,0,-1.221172,-0.985712,-0.025972,-1.04675,-0.654762,-0.661421,0,0,-0.620506,,,
59150016,-1.483404,0,-1.308079,-1.463444,-0.025226,-0.918473,-0.64254,-0.342052,0,0,0.026136,,,
59150017,-1.483489,0,-1.099503,-1.078176,-0.025823,-0.741329,0,-0.49928,0,-0.498986,1.080952,,,
59150018,-1.483438,0,0.27362,-1.401801,-0.025475,-1.121912,0,-0.159556,0,0,0.687817,,,
59150019,-1.483486,0,-0.465085,-0.93948,-0.025972,-0.93071,-0.682276,-0.638756,-0.427815,0,0.865983,,,
59150020,-1.483512,0,0.421361,-0.662086,-0.025823,-0.879723,-0.629788,-0.702751,0,0,0,,,
59150021,-1.483467,0,-1.169029,-1.247694,-0.026022,-0.29847,0,-0.801943,0,0,0.421307,,,
59150022,-1.483495,0,-1.151647,-0.30764,-0.025823,-1.164651,0,0,0,0,0,,,
59150023,-1.483484,0,-0.38687,-1.201462,-0.025823,-0.758629,-0.680511,-0.661421,0,0,-0.583421,,,
59150024,-1.483486,-1.223434,0,-1.247694,-0.026022,-0.791654,0,-0.37211,0,0,0.045964,,,
59150025,-1.483458,-1.124839,-0.960453,-1.324748,-0.025873,-0.656164,0,-0.323127,-0.798901,0,0.105338,,,
59150027,-1.483515,-0.213467,-1.142957,-0.168943,-0.025972,-0.723472,0,0.884322,2.323307,0,-0.207593,,,
59150028,-1.483506,-0.904497,0,-0.662086,-0.026022,0.476535,-0.637342,0.339267,0,0,0.657816,,,
59150029,-1.483484,-0.573421,-0.021862,-1.031944,-0.025922,0.227426,0,-0.04147,0,0,1.424257,,,
59150030,-1.483504,-1.152142,0.13457,-0.985712,-0.025773,-0.5199,-0.570868,-0.661421,0,0,0.980328,,,
59150031,-1.483498,0,-1.195101,-0.754551,-0.025723,-0.767077,-0.533015,-0.682712,-0.834603,0,0.928989,,,
59150032,-1.483455,0,0.369217,-1.278516,-0.025176,-0.395345,-0.506987,-0.49928,0,0,0.593313,,,
59150033,-1.483455,0,-0.247819,-1.216873,-0.025574,-0.126247,-0.660117,-0.49928,0,0,0.087697,,,
59150034,-1.483486,-0.802164,-0.682352,-1.170641,-0.025574,-0.987363,-0.524899,-0.427217,0,0,0.536399,,,
59150035,1.31719,-0.22361,0.490887,-0.153532,-0.025922,-0.283566,0.112545,0.221346,0,0,-1.110951,,,
59150036,-1.483481,0,0.204095,-1.340159,-0.025624,-0.187755,-0.390801,-0.37211,0,0,0.574587,,,
59150037,-1.483504,0,0.117188,-1.139819,-0.025674,-0.453471,-0.222891,-0.239854,0,0,0.446717,,,
